 x	   f(x)	    L(x)	P(x)	P(x)-f(x)   L(x)-f(x)	P(x)-L(x)
-0.974928  0.040384  0.040384  0.040384  0.000000  0.000000  3.538836e-16
-0.910562  0.046023  0.155809  0.155809  0.109786  0.109786  -1.637579e-15
-0.846197  0.052907  0.136308  0.136308  0.083401  0.083401  8.326673e-17
-0.781831  0.061419  0.061419  0.061419  -0.000000  0.000000  -1.804112e-16
-0.665849  0.082755  -0.052563  -0.052563  -0.135318  -0.135318  -5.551115e-17
-0.549866  0.116838  -0.020182  -0.020182  -0.137021  -0.137021  2.046974e-16
-0.433884  0.175243  0.175243  0.175243  0.000000  0.000000  4.440892e-16
-0.289256  0.323444  0.543220  0.543220  0.219776  0.219776  3.330669e-16
-0.144628  0.656629  0.870780  0.870780  0.214151  0.214151  1.110223e-16
0.000000  1.000000  1.000000  1.000000  0.000000  0.000000  0.000000e+00
0.144628  0.656629  0.870780  0.870780  0.214151  0.214151  -2.220446e-16
0.289256  0.323444  0.543220  0.543220  0.219776  0.219776  -2.220446e-16
0.433884  0.175243  0.175243  0.175243  -0.000000  0.000000  -8.326673e-17
0.549866  0.116838  -0.020182  -0.020182  -0.137021  -0.137021  3.226586e-16
0.665849  0.082755  -0.052563  -0.052563  -0.135318  -0.135318  -5.551115e-17
0.781831  0.061419  0.061419  0.061419  -0.000000  0.000000  -1.249001e-16
0.846197  0.052907  0.136308  0.136308  0.083401  0.083401  5.551115e-17
0.910562  0.046023  0.155809  0.155809  0.109786  0.109786  -1.054712e-15
0.974928  0.040384  0.040384  0.040384  -0.000000  0.000000  -5.481726e-16
