 x	   f(x)	    c2f(x)	|c2f(x)-f(x)|
0.005025  0.005025  0.005025  2.844079e-015
0.008375  0.008375  0.008375  2.226581e-010
0.011725  0.011724  0.011724  2.761416e-010
0.015075  0.015074  0.015074  2.119832e-015
0.018425  0.018422  0.018422  3.684797e-010
0.021776  0.021770  0.021770  4.125613e-010
0.025126  0.025118  0.025118  3.032297e-015
0.028476  0.028464  0.028464  5.009459e-010
0.031826  0.031809  0.031809  5.457426e-010
0.035176  0.035154  0.035154  2.518818e-015
0.038526  0.038497  0.038497  6.368491e-010
0.041876  0.041838  0.041838  6.831296e-010
0.045226  0.045178  0.045178  1.804112e-016
0.048576  0.048517  0.048517  7.770131e-010
0.051926  0.051854  0.051854  8.245558e-010
0.055276  0.055189  0.055189  9.436896e-016
0.058626  0.058522  0.058522  9.207125e-010
0.061977  0.061852  0.061852  9.692886e-010
0.065327  0.065181  0.065181  1.679212e-015
0.068677  0.068507  0.068507  1.067350e-009
0.072027  0.071831  0.071831  1.116818e-009
0.075377  0.075152  0.075152  2.317591e-015
0.078727  0.078470  0.078470  1.216579e-009
0.082077  0.081785  0.081785  1.266867e-009
0.085427  0.085097  0.085097  4.996004e-016
0.088777  0.088406  0.088406  1.368241e-009
0.092127  0.091711  0.091711  1.419325e-009
0.095477  0.095013  0.095013  5.967449e-016
0.098827  0.098312  0.098312  1.522293e-009
0.102178  0.101606  0.101606  1.574180e-009
0.105528  0.104897  0.104897  1.082467e-015
0.108878  0.108184  0.108184  1.678775e-009
0.112228  0.111466  0.111466  1.731494e-009
0.115578  0.114744  0.114744  4.996004e-016
0.118928  0.118017  0.118017  1.837791e-009
0.122278  0.121286  0.121286  1.891381e-009
0.125628  0.124550  0.124550  6.522560e-016
0.128978  0.127809  0.127809  1.999477e-009
0.132328  0.131062  0.131062  2.053993e-009
0.135678  0.134311  0.134311  1.693090e-015
0.139028  0.137554  0.137554  2.163997e-009
0.142379  0.140791  0.140791  2.219502e-009
0.145729  0.144022  0.144022  2.664535e-015
0.149079  0.147248  0.147248  2.331545e-009
0.152429  0.150467  0.150467  2.388105e-009
0.155779  0.153680  0.153680  1.554312e-015
0.159129  0.156887  0.156887  2.502342e-009
0.162479  0.160087  0.160087  2.560033e-009
0.165829  0.163281  0.163281  1.443290e-015
0.169179  0.166467  0.166467  2.676611e-009
0.172529  0.169646  0.169646  2.735513e-009
0.175879  0.172818  0.172818  2.997602e-015
0.179229  0.175983  0.175983  2.854604e-009
0.182580  0.179139  0.179139  2.914804e-009
0.185930  0.182288  0.182288  1.748601e-015
0.189280  0.185429  0.185429  3.036583e-009
0.192630  0.188562  0.188562  3.098176e-009
0.195980  0.191686  0.191686  5.273559e-016
0.199330  0.194802  0.194802  3.222830e-009
0.202680  0.197909  0.197909  3.285914e-009
0.206030  0.201008  0.201008  9.436896e-016
0.209380  0.204097  0.204097  3.413648e-009
0.212730  0.207177  0.207177  3.478325e-009
0.216080  0.210247  0.210247  2.220446e-016
0.219430  0.213307  0.213307  3.609357e-009
0.222781  0.216358  0.216358  3.675737e-009
0.226131  0.219399  0.219399  1.887379e-015
0.229481  0.222429  0.222429  3.810289e-009
0.232831  0.225449  0.225449  3.878490e-009
0.236181  0.228459  0.228459  1.193490e-015
0.239531  0.231457  0.231457  4.016806e-009
0.242881  0.234444  0.234444  4.086952e-009
0.246231  0.237420  0.237420  1.582068e-015
0.249581  0.240385  0.240385  4.229286e-009
0.252931  0.243338  0.243338  4.301508e-009
0.256281  0.246279  0.246279  3.053113e-016
0.259631  0.249208  0.249208  4.448136e-009
0.262982  0.252125  0.252125  4.522574e-009
0.266332  0.255029  0.255029  3.885781e-016
0.269682  0.257920  0.257920  4.673780e-009
0.273032  0.260798  0.260798  4.750583e-009
0.276382  0.263664  0.263664  9.992007e-016
0.279732  0.266515  0.266515  4.906680e-009
0.283082  0.269354  0.269354  4.986008e-009
0.286432  0.272178  0.272178  6.661338e-016
0.289782  0.274988  0.274988  5.147320e-009
0.293132  0.277784  0.277784  5.229343e-009
0.296482  0.280566  0.280566  2.220446e-016
0.299832  0.283332  0.283332  5.396220e-009
0.303183  0.286084  0.286084  5.481118e-009
0.306533  0.288821  0.288821  1.110223e-016
0.309883  0.291542  0.291542  5.653938e-009
0.313233  0.294247  0.294247  5.741904e-009
0.316583  0.296936  0.296936  1.942890e-015
0.319933  0.299610  0.299610  5.921070e-009
0.323283  0.302267  0.302267  6.012313e-009
0.326633  0.304907  0.304907  3.330669e-016
0.329983  0.307530  0.307530  6.198246e-009
0.333333  0.310136  0.310136  6.292988e-009
0.336683  0.312725  0.312725  6.661338e-016
0.340034  0.315296  0.315296  6.486159e-009
0.343384  0.317849  0.317849  6.584640e-009
0.346734  0.320384  0.320384  7.216450e-016
0.350084  0.322901  0.322901  6.785536e-009
0.353434  0.325398  0.325398  6.888013e-009
0.356784  0.327877  0.327877  9.436896e-016
0.360134  0.330337  0.330337  7.097172e-009
0.363484  0.332777  0.332777  7.203921e-009
0.366834  0.335198  0.335198  1.609823e-015
0.370184  0.337598  0.337598  7.421918e-009
0.373534  0.339979  0.339979  7.533237e-009
0.376884  0.342338  0.342338  0.000000e+000
0.380235  0.344677  0.344677  7.760696e-009
0.383585  0.346995  0.346995  7.876909e-009
0.386935  0.349291  0.349291  1.554312e-015
0.390285  0.351566  0.351566  8.114493e-009
0.393635  0.353819  0.353819  8.235949e-009
0.396985  0.356050  0.356050  2.220446e-016
0.400335  0.358258  0.358258  8.484392e-009
0.403685  0.360443  0.360443  8.611468e-009
0.407035  0.362605  0.362605  3.330669e-016
0.410385  0.364744  0.364744  8.871556e-009
0.413735  0.366859  0.366859  9.004663e-009
0.417085  0.368950  0.368950  6.106227e-016
0.420436  0.371017  0.371017  9.277251e-009
0.423786  0.373059  0.373059  9.416836e-009
0.427136  0.375077  0.375077  2.831069e-015
0.430486  0.377069  0.377069  9.702849e-009
0.433836  0.379036  0.379036  9.849396e-009
0.437186  0.380977  0.380977  1.998401e-015
0.440536  0.382892  0.382892  1.014985e-008
0.443886  0.384780  0.384780  1.030389e-008
0.447236  0.386642  0.386642  2.220446e-015
0.450586  0.388476  0.388476  1.061990e-008
0.453936  0.390284  0.390284  1.078201e-008
0.457286  0.392063  0.392063  5.551115e-017
0.460637  0.393815  0.393815  1.111478e-008
0.463987  0.395538  0.395538  1.128559e-008
0.467337  0.397232  0.397232  4.440892e-016
0.470687  0.398898  0.398898  1.163643e-008
0.474037  0.400534  0.400534  1.181664e-008
0.477387  0.402140  0.402140  2.498002e-015
0.480737  0.403716  0.403716  1.218703e-008
0.484087  0.405262  0.405262  1.237739e-008
0.487437  0.406778  0.406778  9.992007e-016
0.490787  0.408262  0.408262  1.276891e-008
0.494137  0.409715  0.409715  1.297026e-008
0.497487  0.411136  0.411136  1.665335e-016
0.500838  0.412525  0.412525  1.338466e-008
0.504188  0.413881  0.413881  1.359793e-008
0.507538  0.415205  0.415205  2.997602e-015
0.510888  0.416495  0.416495  1.403717e-008
0.514238  0.417752  0.417752  1.426338e-008
0.517588  0.418975  0.418975  1.332268e-015
0.520938  0.420163  0.420163  1.472958e-008
0.524288  0.421317  0.421317  1.496985e-008
0.527638  0.422436  0.422436  2.664535e-015
0.530988  0.423520  0.423520  1.546541e-008
0.534338  0.424568  0.424568  1.572099e-008
0.537688  0.425579  0.425579  1.110223e-016
0.541039  0.426554  0.426554  1.624853e-008
0.544389  0.427493  0.427493  1.652082e-008
0.547739  0.428393  0.428393  2.942091e-015
0.551089  0.429256  0.429256  1.708329e-008
0.554439  0.430081  0.430081  1.737384e-008
0.557789  0.430868  0.430868  2.220446e-016
0.561139  0.431615  0.431616  1.797450e-008
0.564489  0.432324  0.432324  1.828503e-008
0.567839  0.432992  0.432992  2.775558e-015
0.571189  0.433621  0.433621  1.892757e-008
0.574539  0.434209  0.434209  1.926003e-008
0.577889  0.434756  0.434756  2.775558e-015
0.581240  0.435261  0.435261  1.994853e-008
0.584590  0.435725  0.435725  2.030509e-008
0.587940  0.436147  0.436147  1.665335e-015
0.591290  0.436526  0.436526  2.104419e-008
0.594640  0.436862  0.436862  2.142730e-008
0.597990  0.437154  0.437154  7.216450e-016
0.601340  0.437403  0.437403  2.222220e-008
0.604690  0.437607  0.437607  2.263464e-008
0.608040  0.437766  0.437766  3.552714e-015
0.611390  0.437881  0.437880  2.349124e-008
0.614740  0.437949  0.437949  2.393613e-008
0.618090  0.437971  0.437971  3.608225e-015
0.621441  0.437947  0.437947  2.486110e-008
0.624791  0.437876  0.437876  2.534202e-008
0.628141  0.437758  0.437758  1.665335e-016
0.631491  0.437591  0.437591  2.634299e-008
0.634841  0.437376  0.437376  2.686400e-008
0.638191  0.437112  0.437112  3.164136e-015
0.641541  0.436799  0.436799  2.794964e-008
0.644891  0.436436  0.436436  2.851538e-008
0.648241  0.436023  0.436023  3.330669e-016
0.651591  0.435559  0.435559  2.969567e-008
0.654941  0.435044  0.435044  3.031149e-008
0.658291  0.434477  0.434477  1.776357e-015
0.661642  0.433857  0.433857  3.159789e-008
0.664992  0.433186  0.433186  3.226994e-008
0.668342  0.432461  0.432461  3.663736e-015
0.671692  0.431682  0.431682  3.367572e-008
0.675042  0.430849  0.430849  3.441113e-008
0.678392  0.429961  0.429961  8.881784e-016
0.681742  0.429019  0.429019  3.595164e-008
0.685092  0.428020  0.428020  3.675871e-008
0.688442  0.426965  0.426965  3.330669e-015
0.691792  0.425854  0.425854  3.845189e-008
0.695142  0.424685  0.424685  3.934032e-008
0.698492  0.423459  0.423459  1.110223e-016
0.701843  0.422174  0.422174  4.120716e-008
0.705193  0.420831  0.420831  4.218832e-008
0.708543  0.419428  0.419428  4.440892e-016
0.711893  0.417965  0.417965  4.425356e-008
0.715243  0.416442  0.416442  4.534088e-008
0.718593  0.414857  0.414857  2.331468e-015
0.721943  0.413212  0.413212  4.763380e-008
0.725293  0.411504  0.411504  4.884325e-008
0.728643  0.409733  0.409733  1.165734e-015
0.731993  0.407900  0.407900  5.139873e-008
0.735343  0.406002  0.406002  5.274938e-008
0.738693  0.404041  0.404041  3.608225e-015
0.742044  0.402014  0.402014  5.560920e-008
0.745394  0.399922  0.399922  5.712397e-008
0.748744  0.397764  0.397764  5.551115e-016
0.752094  0.395539  0.395539  6.033860e-008
0.755444  0.393247  0.393247  6.204526e-008
0.758794  0.390888  0.390888  2.220446e-015
0.762144  0.388460  0.388460  6.567601e-008
0.765494  0.385963  0.385963  6.760844e-008
0.768844  0.383396  0.383396  1.110223e-015
0.772194  0.380760  0.380760  7.173046e-008
0.775544  0.378052  0.378052  7.393034e-008
0.778894  0.375273  0.375273  2.498002e-015
0.782245  0.372423  0.372423  7.863649e-008
0.785595  0.369499  0.369499  8.115558e-008
0.788945  0.366503  0.366503  1.665335e-015
0.792295  0.363432  0.363432  8.656170e-008
0.795645  0.360287  0.360287  8.946487e-008
0.798995  0.357067  0.357067  2.053913e-015
0.802345  0.353772  0.353772  9.571691e-008
0.805695  0.350399  0.350400  9.908634e-008
0.809045  0.346950  0.346950  5.551115e-017
0.812395  0.343423  0.343423  1.063703e-007
0.815745  0.339818  0.339818  1.103114e-007
0.819095  0.336134  0.336134  3.219647e-015
0.822446  0.332370  0.332370  1.188672e-007
0.825796  0.328526  0.328526  1.235167e-007
0.829146  0.324601  0.324601  2.053913e-015
0.832496  0.320594  0.320594  1.336582e-007
0.835846  0.316505  0.316505  1.391962e-007
0.839196  0.312333  0.312333  4.551914e-015
0.842546  0.308078  0.308078  1.513399e-007
0.845896  0.303738  0.303738  1.580075e-007
0.849246  0.299312  0.299312  1.665335e-015
0.852596  0.294801  0.294801  1.727157e-007
0.855946  0.290204  0.290204  1.808414e-007
0.859296  0.285519  0.285519  4.996004e-016
0.862647  0.280747  0.280747  1.988878e-007
0.865997  0.275886  0.275886  2.089281e-007
0.869347  0.270935  0.270935  2.775558e-016
0.872697  0.265895  0.265895  2.314006e-007
0.876047  0.260764  0.260763  2.440048e-007
0.879397  0.255541  0.255541  5.551115e-017
0.882747  0.250226  0.250226  2.724706e-007
0.886097  0.244818  0.244818  2.885867e-007
0.889447  0.239316  0.239316  1.609823e-015
0.892797  0.233720  0.233719  3.253694e-007
0.896147  0.228028  0.228028  3.464246e-007
0.899497  0.222241  0.222241  3.608225e-016
0.902848  0.216356  0.216357  3.950837e-007
0.906198  0.210375  0.210375  4.233048e-007
0.909548  0.204294  0.204294  4.718448e-016
0.912898  0.198115  0.198115  4.895116e-007
0.916248  0.191836  0.191835  5.285231e-007
0.919598  0.185456  0.185456  1.942890e-015
0.922948  0.178975  0.178975  6.217454e-007
0.926298  0.172391  0.172392  6.777577e-007
0.929648  0.165705  0.165705  7.494005e-016
0.932998  0.158914  0.158913  8.147273e-007
0.936348  0.152019  0.152018  8.990729e-007
0.939698  0.145018  0.145018  2.386980e-015
0.943049  0.137911  0.137912  1.111531e-006
0.946399  0.130697  0.130698  1.246592e-006
0.949749  0.123375  0.123375  1.151856e-015
0.953099  0.115944  0.115942  1.600453e-006
0.956449  0.108403  0.108401  1.835202e-006
0.959799  0.100752  0.100752  3.608225e-015
0.963149  0.092989  0.092992  2.484703e-006
0.966499  0.085114  0.085117  2.942086e-006
0.969849  0.077126  0.077126  1.387779e-015
0.973199  0.069024  0.069020  4.312772e-006
0.976549  0.060808  0.060802  5.367619e-006
0.979899  0.052475  0.052475  8.812395e-016
0.983250  0.044026  0.044035  8.956288e-006
0.986600  0.035459  0.035472  1.214653e-005
0.989950  0.026774  0.026774  1.165734e-015
0.993300  0.017970  0.017944  2.581203e-005
0.996650  0.009046  0.009004  4.181273e-005
1.000000  -0.000000  -0.000000  5.023917e-017
